Diagnosis,count
pt much better,1
â  body pain,1
dry cough 1days,1
stiffness in back to legs,1
hydrocele for 1 year,1
hand pain from 2-3 days,1
tooth achr,1
weakness for 3days,1
redness of eye 5days,1
o injury a month back,1
history of allergy (cured),1
haemorrhoids since 6 years,1
right side swelling on face,1
coming since 2days,1
right leg pain (trauma) under evaluation,1
hysterectomy done  few yrs back,1
low backache -weakness,1
tingling in  feet,1
non bleeding haemorrhoids *16years,1
recurrent abdominal pain for evaluation,1
fatty liver presenting,1
weakness 1days,1
worm in stomach,1
eye pain impaired vision,1
dry cough  every morning,1
knee painlower backache,1
heaviness. change in bowel movements,1
lungs problem,1
renal liver,1
hiv,1
arthritis  knee  joint  c indigestion c weakness,1
weakness 1yrs,1
knee pain 1yrs,1
kne epain,1
burning on soles,1
generalized vitiligo,1
2 dermatitisâ,1
eyeitching,1
in usg:-left nephrolithiasis 3.3mm.,1
lumbago c weakness c arthritis knee joint c dyspnoea due to anemia,1
traumatic foot injury,1
body pain 5 days,1
gastritis since 4-5 days,1
body pain for 1 day,1
(follow up),1
thigh swelling,1
lt ankle pain - since 9 month,1
congestion since 3 months,1
weakness(lactating  mother),1
headache 4-5 days,1
weakness post febrile illness,1
swelling in front of left ear 5months,1
hypopigmented patch over neck,1
refer medicine for fugax hypertensioninsomnia,1
spondalitis disc prolapse,1
pain ear for 4 days,1
discharge from ear left side,1
rotator cuff neuralgia,1
cough.  back pain,1
0 fall yesterday,1
pain- h,1
shoulder pain-  fall 1 month back,1
fissuring on bilateral heels,1
damaged skin,1
pain on side of stomach after fall 1 month ago,1
to rule out anemia,1
(on med),1
o high cholesterol,1
taking medications for hypertension,1
increased ldh,1
wound at nose piercing,1
burning eye sensation,1
right knee pain since 2 months,1
pain knee eye pain,1
redness of eyes - 1 month,1
hepatomegaly (alleged by pt as per usg),1
eye problem - since 3 days,1
history of htn since 2 years,1
another episode four months ago,1
extensive folliculitis since 6months,1
episode of hemoptysis yesterday,1
gas headache bodyache,1
uncontrolled diabetes mellitus but on irregular rx,1
back pain after fall 1week ago,1
pain in back loss of appetite,1
dm(uncontrolled dm),1
tingling sensation *3days,1
weakness on treatment colostomy,1
kco epilepsy - on rx.,1
swelling  in leg,1
aguesia [ neuro problem],1
itching of legs since 12days,1
loose stools - on dulcolax for constipation (hemorrhoids),1
x- ray shows normal study),1
low back pain more during winter season( injury 8years back,1
itching below waist,1
sputum since on,1
acute  febrile illness,1
weakness.gastritis,1
fracture of wrist jt 1 month back,1
hand injury post injury,1
polymenorrhoea   menorrhagia,1
accidental injury in hip,1
fevrt,1
gas uti,1
low back ache x 20 d no trauma,1
itching skin lesion fuc,1
white patch in hand,1
low backpain no h,1
dry cough  2 m,1
coughn   cold,1
abdomen pain intermittent,1
dizziness (previous head injury ),1
lumbago c weakness c obesity,1
genaralised body pain,1
ringworm  - since few month,1
weakness  backache,1
painkiller abuse,1
refer to ophthal,1
hypermatropia,1
hyperyesion - on medication,1
knee pain [oa knee ],1
painful  breast swelling during menstruation,1
pain in stomach 3days,1
mouth ulcer since 1 month,1
vomiting 3days,1
fever cough ear discharge 3 days,1
urine incontinence since 6months,1
massive breathing problem,1
weakness6 month pregnant,1
wound in skin,1
left plant fasciitis,1
headache x 15 y no trauma,1
general iching,1
rt knee pain after trauma  sprain c urti  c weakness,1
lumbago c limb pain due to weakness c anemia,1
bodyache weknnss,1
medication for thyroid disorder stopped now,1
o thyroid disorder since few years,1
injectable medication given,1
took treatment outside yesterday,1
injured by cattle,1
leucorrhoea since 9 years,1
fever since4 days,1
anal abcess,1
headache- 2days,1
x 15 d h,1
hyperpigmentation of face  allergic,1
cough  weakness fever 4days,1
high-normal dbp,1
in knee,1
burning chest 10days,1
newly daignosed hypertension,1
21 yrs old,1
hypertension refer medicine,1
cough w sputum,1
left shoulder pain-  fall 15 days back,1
1 kneeâ painâ,1
pus filled rash on nose,1
aljhimers,1
amenorrhea for 1 1,1
injury to rib fracture,1
joint pain gastritis cold,1
lumbago  c migraine c weakness,1
gastritis since 5 day,1
w signs of insulin resistance,1
weakness - since few year,1
chest pain  left side after trauma c mild hypertension,1
acute pharyngitis+ scabies,1
pyria infection,1
rhinitis since 3months,1
follow up knee pain,1
dyspnea since 2 yr,1
dermatitis  due to detergents,1
swelling over rt side face,1
productive cough since 6 days,1
pharyngitis',1
weaknss  bodyache,1
weakness + allergy,1
lumbago c arthritis knee joint c indigestion c constipation,1
gass body pain mouth problem,1
paraesthesia over left leg,1
white skin patch,1
bacterial infection skin,1
pain in chest pain,1
pl effusion,1
3 month of pog,1
injury to left eye,1
swelling on the dorsum of foot 4months,1
plaster already there,1
shoulder pain due to fracture,1
cracked skin in left hand,1
heel pain during wakling,1
lipid deposition,1
chest pain - muscle pull,1
pityriasis versicular,1
not willing,1
bp- 183,1
gastritis (on rx - no documents available),1
weakness .fungal infection,1
pain in back 3days,1
frequent cramps in hands,1
neck spondylytis -since 3 months,1
anorexia for 2 month,1
itching over pvt part,1
left sided lower limb,1
mild  raised diastolic bp,1
pruritis no rash,1
shaking hands while writing (parkinson's disease),1
anorexia + worms infestation,1
unable to move hand properly,1
o fall on road yesterday while walking,1
left hand pain h,1
anal fissure since 10days,1
off for 3 months,1
(menorrhagia) p2l2,1
history of multiple abortion( pain in lower pelvic area on heavy lifting),1
neuralgia of the left leg,1
gastritis acidity,1
lumbago c weakness c arthitis knee joint c anemia,1
resting,1
came for sanitary pad,1
headache  (post injury after fall),1
mass in rectum area.,1
fever(100 f),1
hand foot moth disease,1
rhinitis (on medication),1
malaise c neck pain c backache c knee pain after fall,1
wisdom teeth eruption,1
body pain  for 6 months,1
tb patient (cough),1
rhi nitis,1
first-degree,1
stage iii hypertension 178,1
missed periods post ligation,1
joint pain following c section anesthesia,1
febrile illlness,1
dermatitistinea,1
loose  stool,1
breathing difficulty on,1
white spot over body,1
hyperpigmentation marks on cheeks,1
fever (1 day),1
24 shows psychosomatic disorders on medications,1
- chronic gastritis on regular medications,1
cough(4 days ),1
wound infection in ear,1
hyperpigmentaion of face,1
leucorrhea since two days,1
melanin pigmentation,1
took treatment for scabies,1
taking treatment for this conditions,1
hematochezia sine yesterday,1
tinea mannus,1
chronic cough(4 months,1
lba (lactating mother),1
occasional cough since 1yr,1
chest pain under evaluation  gastritis,1
bodyache weajkness,1
cold x 5 days,1
cholestasis due to gall stone,1
hypotension - on off,1
dry cough - 2 weeks,1
post rta foot ache,1
fever sacabies,1
anorexia c weakness c headache periodical due to anemia,1
back pain due to lumbar spondylosis,1
low back ache  5y,1
increased frequency of micturation for last 1 week,1
non healing ulcer on dorsum of foot,1
lower limb pain c weakness c faintness due to anemia,1
stretch marks in pregnancy,1
cold  x 5 d,1
back pain radiating to left leg 1month,1
headache c allergic rhinitis c chr csom both ear,1
cold since 5-7 days,1
pain abdomen (hepatomegaly in usg),1
polymennorrhea,1
small bump on head,1
fever weakness 4days,1
lumbago c headache  c neckpain c weakness due to anemia c numbness in rt upper limb c rt chest pain,1
warts over left eyelid,1
frequent episodes of headache since 1yr,1
diminished visual acquiy,1
arthritis knee  cheelache  c weakness,1
(pt had pneumonia 5 months back),1
easy faitgue,1
secondary infection of nail base after onychomycosis,1
white patch on skin vitiligohenson's refer to dermat,1
dry cough (seasonal),1
parasitic infection in the abdomen causing vitamin deficiency,1
1 m,1
injury in left knee,1
as informed by mother---2yr old child has itchy hypopigmentation rashes in neck,1
ige =5838ng,1
toothache due to injury,1
paraesthesia over foot-diabetic neuropathy,1
malaise after urti,1
body pain 3days,1
body swelling 1yr,1
pus from breast,1
elbow  pain  for 1 month,1
traumatic wound  in scalp,1
allergy induced asthma,1
swollen feeling since 1month after winter,1
ophthal reference,1
chronic fever (since 1 mth),1
abdominal colic c amoebiasis c weakness,1
wisdom tooth pain,1
weakness fever 4days,1
lumbago c knee pain after fall c indigestion c weakness,1
allergic-rhinitis,1
hyperlipidemia on regular homeopathic medications,1
previous  blood transfusion 2 yrs back,1
tremors right hand for evaluations,1
occasional gutka chewer+,1
fluid collection in pod,1
lumbago c leg pain c polyuria  c anemia,1
smokes cigerettes,1
5 months pregnant - prenatal checkup not done,1
headache cough cold body pain 15days,1
tingling numbness of extermities,1
pain in body weakness 15days,1
arthritis knee joint c lumbago c weakness due to anemia,1
weakness body pain cough cold headache 15days,1
usg ab shows fatty liver gr i,1
dehydration under evaluation,1
swelling - sub mandibular region,1
hypotension 3days,1
chest pain on lifting right arm,1
previous history of heart attack on medications,1
periodical abdominl pain  c  fibroid uterus c weakness c indigestion c leucorrhoea,1
cough headache body pain 15days,1
cough cold body pain weakness 15days,1
itching all over body 15days,1
l breast associated,1
leucorrhoea c weakness c backache c severe anemia hb 3gm,1
malnourished 8kg,1
acute abdomen pain,1
pain in calves,1
malaise c  indigestion c periodicl  c headache  c anorexia,1
mental retardation c  delayed mile stone   birth injury c h,1
hb 9.8,1
iã‘jury leg,1
dry cough- 15 days,1
c swelling  c indigestion c weakness due to anemia,1
dental cariess,1
left shoulder pain restricted movenemts,1
periodical headache migraine,1
o fall 6 m back,1
headache(parietal region),1
lumbago c migraine c weakness c anorexia,1
dmt2.htn knee pain,1
pain in right leg due to fall,1
post tooth removal pain,1
scabies derma refer,1
bodyache c weakness c gastritis  c pain in abdomen c anorexia c u.r.t.i,1
pain of left  hand,1
lump over b,1
distended bowel loops in abdomen,1
pain in leg c weakness c indigestion,1
12yrs,1
headache c malaise  c  diabetes,1
urticaria over the right hand,1
urticaria over body feet,1
facial puffiness since 3 years+,1
slightly raised bp+,1
low back pain x 5 m,1
headache weakness lowerback pain dry cough 15days,1
knee pail b,1
pregnancy at 7th month,1
obesity c indigestion c weakness c anorexia c myopia,1
operated for left renal calculi 2019,1
usg done in dec 2023 report not available,1
pain abdomen in lumbar region x 3 m,1
headache fever x 3 d,1
gastritis 3days,1
painful hemorrhoids 30days,1
thyroid gastrictis,1
tingling in limbs since 6 months+,1
fatty liver diagnosed elsewhere,1
patient is a k,1
cholestrol deposition on eyes cosmetic issue,1
- since 10 days,1
allergic lesion over skin of left leg 30days,1
upper respiratory tract infection c mild hypertension,1
pregnant patient,1
indigestion  c weakness c obesity,1
back  pain',1
cholelithiasis - since 1 month,1
indigestion c scabies,1
weakness c  anorexia c bodyache,1
dry cough  low back ache15days,1
accelerated htn scabies,1
urti c leucorrhoea c weakness c backache,1
hypotension 2days,1
knee pain c anorexia c weakness c leucorrhoea,1
shoulder pain  toothache,1
arthritis knee joint c weakness  c cough dry c anorexia,1
anxiety+gastritis,1
weakness (8month pregnant),1
itching over  face,1
abscess- uvula enlarged,1
feeling faint,1
anus region boil,1
knee pain+ since 5 years+,1
1mo of  pregnancy,1
evening rise in temperature,1
left wrist pain under evaluation,1
right sided chest pain( past trauma),1
allergic cough (due to dust),1
stomachache 1days,1
backache headache 3month,1
low back ache 15days,1
bleeding per rectum while defecating,1
low back ache 2months,1
foriegn body rt eye,1
low backache + gastritis,1
csom ent reference,1
skin problem - since 8 days,1
upper respiratory tract infection c weakness c  backache c h,1
weakness 1year,1
sputum 5days,1
g body swellingmweakness,1
cough cold headache body pain 10days,1
headache due to injury 6months back,1
malaise c indigestion c bodyache c constipation c anemia,1
att completed two years ago,1
hand pain (hurt on hand 1 day before ),1
o accident given.,1
difficulty swallowing since 4 months,1
rt sided facial tingling+,1
months,1
lump over rt wrist since few,1
lumbago c indigestion  c weakness,1
intermittent shortness of breath,1
language issue,1
emergency depending on the condition.,1
pain in neck (neck sprain),1
rash on ear,1
generalized body,1
painful lump in hand (elbow),1
back pain x2 y no trauma,1
neck pain 1yr,1
fever weakness headache body pain,1
left acute shoulder pain,1
last visited  dr for heart disease 7 y back,1
knee pain x 1y,1
yellowish expectoration x15 d,1
backache neuropathy ear pain,1
old trauma to face,1
knee -arthritis,1
3 months weakness,1
shoulder pain radiating to chest,1
o fall at home 2 days back,1
urti x 12 d,1
weakness c anorexi a,1
accident(19th january)  leading to chest pain,1
arthritis knee joint c  headache c chronic diarrhoea c urinary tract infection  c renal calculi,1
hypotension 4days,1
leg 4days,1
urethral discharge on,1
gastritis 1day,1
chest pain 1day,1
swelling in facial region,1
hand pain 10days,1
leucorrhea+ since 2 months+,1
sputum 3mth,1
fractured leg,1
pain in leg 15days,1
back of neck pain 15days,1
tingling sensation - since 4 month,1
lmp: 3 m back,1
o child delivery 8 m back by ftnd,1
burning in anus after stool c mild constipation  c weakness,1
injury while playing,1
pain abdomen above umbilicus reduced after eating,1
mild whitish expectorant  x 6 m,1
arthritis knee joint c indigestion c anorexia c headache periodical,1
burn injury of finger,1
genarilized anxity disorder,1
irregular stool constituency under evaluation,1
right foot pain( past trauma),1
gastritis+ leuccorhea+ myalgia,1
fracture in rt leg,1
hypertension stage i,1
patients says she has pneumonia refer to pedia,1
lesions in mouth refer to pedia,1
t habit of chewing tobacco,1
left sided wall chest pain,1
scabies    c bodyache  c weakness due to anemia,1
weakness c testiculatr pain c u.t.i .,1
acute onset of alopecia,1
cough cold fever 3days,1
hemorrhoids 1year,1
slurring of speach since 10days,1
injury bilateral limbs,1
fullness in right ear,1
knee pain anemia hb - 8,1
weakness  15days,1
knee back pain 15days,1
- hypothyroidism (on 25 mcg eltroxin),1
weakness  c anorexia due to anemia c lumbago,1
back pain; h,1
decreade appetite,1
right leg swelling under evaluation,1
myocardial infarction,1
hand pain 3days,1
weakness 10days,1
low back ache 10days,1
urticaria over the left hand,1
eye problem - since 1 week,1
body pain  - since 1 year,1
refer to dentist for toothache,1
upt report negative according to patient,1
married since 1year,1
mood disorders,1
critical hypertension stage iii,1
indigestion c  constipation c mild hypertension,1
abdominal pain (left lumbar)- 4 months,1
hypotension 10days,1
weakness 1years,1
generalized body pain days,1
dry cough cold 2days,1
hhand pain,1
low backache + weakness,1
chronic gastrictis,1
lumbago c heel ache c indigestion c  constipation,1
mild fever-on,1
indigestion  c constipation  c vitiligo in spot at lip c alopecia,1
weakness gastroenteritis,1
hypotension headache myalgia,1
wound on foot toe,1
pain in right inguinal region of abdomen,1
works at construction+,1
allergic to cement,1
water discharge on scratching+,1
itching over limbs since 10 years+,1
reports suggestive of fatty liver,1
shortttness of breath,1
hypothyroidiam not on treatment,1
patient is currently receiving treatmnt for above,1
periodical headache  migraine   c vertigo  c anorexia  c weakness,1
fall on ground,1
sciatica right leg,1
deranged thyroid profile,1
(under medication),1
upper respiratory tract infection c weakness c anorexia  c upper limb pain,1
dificulty in vision,1
rt lumbar pain -  kidney stones,1
sleeplessness since 5days,1
wound at toe  abrasion after itching  c poor weight coldapllergy,1
headache since 1-2 day,1
113mmhg ),1
hypertensive urgency( bp-200,1
knee joint pain(left ),1
knee pain weakness 1yrs,1
o cardiac illness as per the patient,1
dyspnea on medication from outside,1
o hypercholesterolemia,1
(patients wife giving the history),1
fever. cough cold,1
no fever or cough,1
weakness --- frequent,1
dry cough  x 6 d,1
musculoskeletal pain in left knee,1
headache r,1
cough cold feve,1
no drug allergy,1
pain in toe following injury,1
scabies since 10days,1
itching all over body (blood infusion history ),1
pointing abcess seen in right arm,1
cough (white sputum),1
works as truck driver,1
back pain-  fall 15 days back,1
lump in elbow joint,1
constipation  - since 1 year,1
voice problem (chronic problem),1
neck strain (after lifting weight),1
earache right,1
loose diarrhea,1
dizzniess,1
phlegm - since few month,1
left chest pain after exertion  c weakness c mild hypertension,1
skin infection on nose,1
lumbago c knee pain after exertion,1
taenia corporis + prehtn,1
low backache  weakness,1
cough-expectorant for 1 month,1
gastritis - since 4 month,1
piles - since 15 days,1
finger pain from injury,1
cough - since 4 day,1
headache(migraine )and weakness,1
counjitivitis,1
vomiting three episodes today,1
hand pain  cough cold,1
o fall from bike 1 m back,1
non compliance to medication,1
skin lesion at feet c swelling,1
piles   c bleeding periodical   c pain in anus c weakness due to anemia,1
has breathlessness on duomate transcap inhalaer,1
rt elbow pain - since 1 month,1
drugs allergy,1
dry cough - 2 days,1
paraesthesia in toes,1
paraesthesia of toes,1
emergency depending on the condition,1
weight loss since 2 months,1
cough+ since 8 days+,1
knee. pains,1
loose motion 15days,1
itching over body 10days,1
sciatica right side 1months,1
mass+,1
bleeding piles+ since 1 year+,1
lost 7 kgs+,1
giddiness since 2 months+,1
hypertension+,1
cough -  since 3 days,1
hemorrhoids -non bleeding,1
sprain - since few days,1
spots on knee refer to derma,1
leg fracture one week back - leg pain,1
knee pain 15days,1
on irregular treatment+,1
since 4years+,1
itching all over body 1 week,1
hyperthyroidism on medicines,1
gastritis c anorexia c weakness c pain in abdomen  burning type,1
leg pain hand pain headache,1
numbness in tr  hand,1
leg pain+ since 3 month+,1
knee pain 4months,1
physicaly handicap,1
cough cold 6days,1
amenorrhoea for last 6 months,1
craked foot,1
ear.discharge,1
t fall from stairs,1
body paind,1
low back pain 15days,1
urti gastritis pyria,1
bun increased,1
reports - urea increased,1
pain no cuts,1
multiple lumps on th eleft hand,1
numbness of left leg,1
chest pain  radiating to back,1
wworm,1
o trauma to face,1
lumbago c bodyache c malaise c hypertension mild,1
headache x 5y no trauma,1
occaisonal lower back pain+,1
lab reports no issue no problem,1
legs hands,1
lumbago due to faulty position,1
leucorrhoea x6months,1
fever like symptoms 10days,1
from last 4- 5 days,1
indigestion c malaise c hypertension,1
sciatica 1yrs,1
gingivitis tooth caries,1
ct scan done 5 y back,1
recurrent rt acute otitis externa - since 1 month,1
arthritis knee joint c weakness c lumbago c indigestion   c weakness,1
develops rash,1
is allergic to allopathic medicines,1
tin box today.,1
o injury to rt little finger,1
sneezing - since 4 day,1
arthritis c leucorrhoea  c weakness,1
allergic rhinitis c weakness due anemia,1
oa  b,1
l knee joint k,1
depigmentation of skin,1
allergy whole,1
loose  motions c weakness c pain in abdomen  c  deafness,1
o spinal surgery 7 years back,1
low back pain  reanal concretions,1
bl,1
fracture on leg,1
shorness of breath,1
wound post injury x1d,1
thumb pain swelling,1
mass over the left hand.,1
tingling sensation in ear n knee pain n gas,1
valvular disease on treatment,1
face has burning since 3days,1
hemorrhoids (on medication),1
hyperglycemica,1
traumatic leg injury,1
menorrhagia - post copper - t insertion 5 months back (on rx - no documents avialble),1
has allergy to drotavarine  taken morning today developed rashes on face,1
ringworm on body  for 2 month,1
gastritis since10 day,1
pain itchy throat,1
hypertension (todays dose missed),1
abdominal pain due to renal stones,1
ringworm 2m,1
anaemia(pt says hb-7),1
rt knee joint pain  c  shoulder rt side pain  c rt knee pain c weakness  c lumbago after traum a,1
wound over left ankle region,1
anaemia  gastritis,1
fever cough gastritis cold,1
bodyopain,1
abrasion ( trauma) under evaluation,1
itching no lesion,1
echymosis 5d fracture,1
injury to the orbit,1
h--3days before,1
pain in knee joint since 2days,1
pain in the thumb,1
piles [bleeding] since 3 months,1
leg pain after fall 1mth,1
cough cold  pain eye,1
upper respiratory tract infection c weakness c back ache c knee pain,1
fever cough cold  pain ear,1
knee pain 1 yrs,1
pain in both wrist joint,1
itching of forehead fungal,1
fibroid uterus on  siddha treatment,1
non htn  or dm,1
wound in abdomen region,1
gas problem since 2months,1
off since longtime,1
anemia hb-8,1
right arm tingling,1
pain abdomen  swelling,1
gastritis hpylori1yr,1
breeathlessness,1
breast pain during periods,1
injury in the hand 3 months back,1
lt eye low vision,1
nasal dripping,1
nose bleeding epistaxis,1
renal stone (12mm),1
urti + itchy papules all over body which is increased in 1 week following rx for ringworm,1
chronic back pain for 2 years,1
arm pain (history of fracture),1
wound over first toe,1
o mi in 2011,1
wound  i  on leg  cough,1
heaviness in chest since one month,1
polymenorroea x6month,1
wound in rt leg;followed by fever,1
ringworm---chronic,1
pain in throat since 1week,1
yellow eye,1
sprain of rt.foot (  trauma+),1
ureteric stones,1
abdominal pain (spasmodic),1
low back ache(due to injury before 2months),1
knee pain only. 2 mths,1
pain at suture site (h,1
cold  fever since 3 days,1
wrist pain (due to injury),1
swelling on hands,1
low back ache (due to prolonged sitting),1
o tubectomy 3 months back after p,1
skin problem since 1day,1
irritant  dermatitis,1
o accident 3 month ago),1
hyperpigmentation under the eye,1
low  hb,1
left sided neck,1
low apperite,1
hematocolops in the present menstrual cycle,1
generalised body pain weakness,1
ceruman impaction,1
resp distress at nigh,1
peri neuritis,1
left sided low backache radiating towards lower limbs,1
after which pt was unable to walk,1
o injury 2 yrs back,1
body pain since 3days,1
: fatty liver grade 1,1
pain abdomne,1
body pain trauma 1wk back,1
obesity-seeking weight reduction advice,1
weakness .flatulence,1
ear lobes,1
multiple discharging sinus on ear pinna,1
weakness old injury on face one month back,1
small vesicles,1
herpetic neuralgia,1
knee pain (- fall),1
pt  not any medication of hypotension,1
cough leading to vomiting,1
pregnant pain,1
gas (breast feeding mother),1
calculi renal,1
o nasopharyngitis since 7days,1
epistaxis 3days back. one episode of excessive nasal bleeding in the morning,1
itching but no rash on skin,1
vomiting - 1 episode,1
rt. ear trauma (foreign object while cleaning ear),1
old case cva,1
kneepain leukorrhorea,1
-  asthma,1
stye  both eyelid c  u.r.t.i. c weakness,1
lmp- 01.01.24,1
seasonal),1
backpain anorexia,1
malabsorption syndrome,1
left lower back ache,1
knee pain (rt) 2mth,1
copd  cause(nodocuments available),1
thrombocytopenia(platelet count checked 1week back),1
pain over left buttock region,1
blackening +,1
pheripheral nueropathic pain,1
change in the voice,1
amenorrhoea since 1 year since delivery of baby,1
malaise c c bodyache c anorexia,1
acidity on,1
sneezing on,1
toothache x2d,1
photo shows superimposed infection of eczema,1
eczema in both feet since 3months,1
o t2dm on treatment,1
o injury over back 3 years back,1
- photo shows superimposed infection of eczema,1
- eczema in both feet since 3months,1
abrasion rt wrist,1
cough (b,1
pain back   itching,1
chest pain  post fall,1
rash on back since 3months,1
vertigo 1mth continuously,1
advice given for cry spell,1
pain in knee since 2years,1
dark spot in hands,1
black lesions on hands,1
hand burn (3 months before ),1
pain over the dorsum of rt hand,1
headache  chronic  c weakness  c vertigo  c indigestion c colitis,1
hypertensoin,1
tooth ache c dental caries c wekaness,1
o working around coal dust,1
shortness of breath since 6 months,1
headache wdakness,1
weakness hypotension hand pain,1
known caso of r.a,1
non itching,1
l knee pain ( neuralgia),1
heeel pain,1
primary amenorrhea(no menarche at all),1
on regular medications.,1
42yr old lady  excessive hair fall since 3months,1
reduced vision in eye since 1month,1
pin in right sided lower ribs since 6 days,1
wound over fingers,1
burning micturition since 7days,1
abdomen pain since 2 day,1
htn - since1 year,1
leg muscle pains bilat,1
2 dandruff,1
neck pain since 1day,1
weakness (anemmia) 2mth,1
bp not recorded today - bp machine not working,1
ankle odema,1
calf region swelling,1
boils on palm,1
bodyache weaknes,1
acute gastro-enteritis,1
renal stone ),1
lower abdomen pain since since yesterday ( h,1
leg pain ear ring worm,1
gas weakness 3 month pregnant,1
hypere,1
ovulatory pain,1
reports from 2019 to 2021---wnl,1
neuralgic pain in lscs stitches,1
every month 12-14th day of menstrual cycles,1
bodypain weskness,1
diabetic - on medicine,1
mouth ulcer 3d,1
ring worm 1.5yr,1
dry cough since 6days,1
c\\o cough,1
mild wound (due to injury before 2days),1
tingling sensation - since 3 days,1
leucorrhea gastritis hypotension,1
itchong,1
knee pain after fall 5d. doesn't seem to be a major injury,1
diarrhea 3d,1
weakness since 1yr,1
itching on neck since 1month,1
l ankle pain - since 1 year,1
diabetes since 7 to 8 years,1
patient have history of htn,1
htn back pain,1
furunculous skin lesions in hands,1
hypertension patient on medication,1
ex weight gain (- hypothyroidism -not taking med ),1
leucorrhea 4d,1
left thigh pain(trauma),1
fungal infection (cannot send photos),1
fainting episode,1
paresthesia  rt. ul,1
weakness backache gastritis,1
swelling n pain over neck n gums,1
knee pain ; weakness,1
heal fissures,1
abdominal mass for evaluation,1
left middle finger blunt trauma,1
pt on hypertensive,1
headache after trauma,1
open wound on left great toe (  trauma+),1
pain body anorexia,1
backache hypotension,1
allergic rhinitis c weakness,1
pain in scar,1
two months,1
back ache 2 month,1
urti (informant-grand mother),1
weakness + sinusitis,1
pain in rt. middle finger (  trauma+),1
anc  4 months,1
back ache 7 day,1
fever for 15days,1
migraine headaches,1
palpitations since 1month,1
epicondylitis - injury 2 months back,1
gastritis pain body weakness hypotension,1
lumbago c weakness c finer joint pain  c anorexia,1
rash on whole body since 1 week,1
o cough 15days back,1
low bp since more than 1 months,1
muscle strain in left wrist joint,1
abrasion wound in hand,1
knee pain after rta 4 days back,1
bodyache. cough 1 wk,1
h--intermittent flow. 30,1
fluid filled vesicles,1
cholelithiasis (usg diagnosis),1
knee pain after fall 3 months,1
weakness gastritis fever,1
cough (seasonal),1
.low backache,1
left sided  abdominal pain,1
bilateral swelling at angle of jaw,1
facial paralysis ( 13 years back),1
pain in ll.,1
pain abdomen nd headache,1
neck apin urti,1
otitis interna,1
neuralgia rt hand,1
lump on abdomen since ten years,1
ankle sprain today,1
back pain  eye pain,1
: dm (on irregular medicine),1
fever  c urinary tract  infection c weakness,1
scabies),1
(taken multiple treatment for fungal infections,1
itchy rash all over the body-chronic skin disease-psoriaisi,1
itchy ring like patch on face[3 moths pregnant],1
vocal code sx,1
hepatomagaly,1
hypothyroidism (poor compliance to meds),1
cough - since 3 day,1
burning sensation since 1week after long bike ride,1
hairfall *3years,1
tingling sensation over hands-neuropathy,1
swelling 6 months cause,1
cuts,1
post op phaco,1
o att 18 years ago,1
delay in learning,1
cough (post viral subsiding),1
epihora,1
pain back  n eye,1
headache x 5 d h,1
severe dm neuropathy,1
non-healing ulcer left feet,1
has cu t  in situ,1
skill developments,1
forearm injury pain,1
dm not on regular treatment.,1
wris,1
vision,1
subconjunctival heamorrage.no problems,1
swelling on abdominal wall.,1
being treated at aiims,1
anke pain b,1
dm2( on regular medication ),1
candidiasis of tongue constipation,1
right sided breast pain,1
leucorrhear,1
nail insertion in the sole 10 months ( tetanus toxoid not taken ),1
boil on right face,1
rt. leg pain (h,1
post cabg status,1
renal stone 19 mm,1
patient looks above 60 yr,1
burnng sensation of extremities,1
a.g.e,1
not onmedication for irregular bp,1
juvenile idiopathic arthritis(jia),1
left varicose vein,1
fatige,1
bodypain gastroitis weakness,1
hx. cataract in left eye operative,1
ringworm  - since 1 year,1
lt ear pain - since 2 year,1
don't need medicine now,1
pain in hypogastric region 4days,1
at the back,1
footpain backpain,1
lower abd pain since 6 days,1
p 3 lcb 14 days back,1
post partum 14 days,1
tt operation done 9 days back,1
excessive bone growth,1
headache 4days,1
foot heal,1
itchy patch on face,1
pain in leg since 1year,1
breathlessness (p,1
pt is myopic but doesn't use spectacle,1
left knee pain ( past injury),1
low bacckache,1
cough  1 month pregnant,1
known cases of copd,1
body swelling.,1
knee joint pain  tooth ache,1
tingling 1yrs.,1
ear discharge- 3 months,1
skin lesion over leg s,1
tinea incognito since 3months,1
trauma 1yr back,1
pain lt shoulder hand,1
left side pain under evaluation,1
weakness since 20 days,1
pimple.,1
allergy to watch strap,1
leg pain (calf),1
pregnant -5th month,1
knee dislocation acl tear,1
headache 1.5 migraine,1
weakness post loose stools,1
rhitis,1
anorexia since 1-2 month,1
haemorrhoids 3yrs,1
itching in the forearm fungal skin infection,1
patient have history of thyroid since 5years,1
viral prodrome (cough),1
constipation under evaluatio,1
hearing loss left ear 9mth,1
eye itch 4d,1
node in hand,1
backache and. weakness since 8days,1
hx. cataract surgery,1
dairrohea - since 3 days,1
pain tip of shoulder,1
fever 10d. dengue,1
adjacent skin,1
cough for week,1
ringworm over private area so couldn't share pic,1
fibroid pain body,1
loose motion since 6months,1
was informed about some kidney,1
1yr back,1
weakness c  hand tremor after exertion  after old pulmonary tb  infection,1
w nausea or vomiting,1
pain in rt hypochondriac region since 1month   cholelithiasis,1
headache --- frequent since 1yr. exaggerated since 10days,1
history of trauma 1 year ago,1
sprain in rt hand,1
headache---frequent,1
backache c weakness c hot flushes,1
lactating- mother,1
l finger pain under evaluation,1
pain in incision site,1
